1;abbreviate;10
2;ABC;3
3;abide;5
4;ability;7
5;able;4
6;aboard;6
7;abound;6
8;about;5
9;above;5
10;Abraham;7
11;abruptly;8
12;absence;7
13;absent;6
14;absenteeism;11
15;absolute;8
16;absolutely;10
17;abstract;8
18;abundance;9
19;abundant;8
20;abuse;5
21;accelerate;10
22;accent;6
23;accept;6
24;acceptable;10
25;acceptance;10
26;accepted;8
27;accepting;9
28;access;6
29;accessibility;13
30;accessible;10
31;accessibly;10
32;accessory;9
33;accident;8
34;accidental;10
35;accidentally;12
36;accommodate;11
37;accommodating;13
38;accommodation;13
39;accompany;9
40;accompanying;12
41;accomplish;10
42;accomplished;12
43;accomplishment;14
44;accord;6
45;accordance;10
46;according;9
47;accordingly;11
48;account;7
49;accountable;11
50;accountant;10
51;accounting;10
52;accumulation;12
53;accuracy;8
54;accurate;8
55;accurately;10
56;accused;7
57;accustomed;10
58;achievable;10
59;achieve;7
60;achievement;11
61;acknowledge;11
62;acknowledged;12
63;acme;4
64;acoustics;9
65;acquaint;8
66;acquaintance;12
67;acquire;7
68;acquired;8
69;acquisition;11
70;across;6
71;act;3
72;acting;6
73;action;6
74;activate;8
75;activation;10
76;active;6
77;actively;8
78;activist;8
79;activity;8
80;actor;5
81;actual;6
82;actually;8
83;acute;5
84;acutely;7
85;AD;2
86;adapt;5
87;adaptable;9
88;adaptation;10
89;adapter;7
90;add;3
91;addend;6
92;addition;8
93;additional;10
94;additionally;12
95;additive;8
96;address;7
97;addressing;10
98;adequate;8
99;adequately;10
100;adhere;6
101;adhesive;8
102;adjacent;8
103;adjust;6
104;adjustable;10
105;adjustment;10
106;administration;14
107;administrative;14
108;administrator;13
109;admirable;9
110;admirably;9
111;admiration;10
112;admire;6
113;admission;9
114;admit;5
115;admitted;8
116;adopted;7
117;adoption;8
118;adult;5
119;advance;7
120;advanced;8
121;advancement;11
122;advantage;9
123;advantageous;12
124;adventure;9
125;adversely;9
126;advertise;9
127;advertisement;13
128;advertiser;10
129;advertising;11
130;advice;6
131;advisability;12
132;advisable;9
133;advise;6
134;advised;7
135;advisedly;9
136;advisor;7
137;advisory;8
138;advocate;8
139;aesthetically;13
140;affair;6
141;affect;6
142;affected;8
143;affecting;9
144;affiliated;10
145;affirm;6
146;afford;6
147;affordable;10
148;africa;6
149;after;5
150;afternoon;9
151;afterward;9
152;afterwards;10
153;again;5
154;against;7
155;age;3
156;agency;6
157;agenda;6
158;agent;5
159;aggressive;10
160;aggressively;12
161;ago;3
162;agrafe;6
163;agree;5
164;agreeably;9
165;agreed;6
166;agreement;9
167;agricultural;12
168;ahead;5
169;aid;3
170;aide;4
171;aim;3
172;air;3
173;airfare;7
